S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,58.70,"1,250.00","1,300.00","1,226.00","1,256.00","1,256.00",0.00,0.00,"1,264.05","2,065.00","1,227.00","2,610,270.00",52,29.00,74.00,2.36,6.04,-0.64,"1,938.00",752.00
2,ADBL,40.69,410.00,412.00,400.10,411.00,411.00,0.00,0.00,406.90,"78,818.00",410.00,"32,071,339.80",683,1.00,11.90,0.24,2.97,1.00,620.00,398.00
3,ADBLD83,61.98,"1,050.00","1,071.00","1,050.00","1,071.00","1,071.00",0.00,0.00,"1,069.15","1,990.00","1,050.00","2,127,615.00",2,21.00,21.00,2.00,2.00,0.17,"1,150.00","1,000.00"
4,AHPC,53.26,434.50,444.00,425.90,442.00,442.00,0.00,0.00,437.04,"171,026.00",429.80,"74,745,539.90",586,12.20,18.10,2.84,4.25,1.12,785.00,204.00
5,AIL,40.28,690.00,692.00,678.00,682.00,682.00,0.00,0.00,687.09,"6,603.00",678.00,"4,536,868.00",154,4.00,14.00,0.59,2.06,-0.75,"1,125.00",588.80
6,AKJCL,43.09,275.00,278.00,269.00,273.00,273.00,0.00,0.00,273.86,"54,476.00",273.00,"14,918,794.10",334,0.00,9.00,0.00,3.35,-0.31,502.00,116.00
7,AKPL,47.69,493.00,506.90,490.00,506.00,506.00,0.00,0.00,497.23,"82,669.00",493.00,"41,105,515.30",511,13.00,16.90,2.64,3.45,1.73,882.40,253.00
8,ALBSL,50.25,"1,415.00","1,440.00","1,400.00","1,438.00","1,438.00",0.00,0.00,"1,411.71","4,502.00","1,415.00","6,355,528.80",72,23.00,40.00,1.63,2.86,1.83,"2,101.20",985.00
9,ALICL,39.33,"1,145.40","1,165.00","1,114.00","1,165.00","1,165.00",0.00,0.00,"1,143.25","12,173.00","1,123.00","13,916,787.10",136,42.00,51.00,3.74,4.58,1.87,"1,565.00",903.00
10,API,60.05,450.00,473.00,445.00,467.00,467.00,0.00,0.00,459.63,"377,918.00",445.00,"173,704,300.30","1,936",22.00,28.00,4.94,6.29,1.58,670.00,239.00
11,BARUN,37.84,461.00,469.00,456.00,458.00,458.00,0.00,0.00,460.31,"15,252.00",462.00,"7,020,664.50",122,-4.00,13.00,-0.87,2.85,-0.50,763.40,167.00
12,BBC,55.14,"4,838.10","4,880.00","4,834.00","4,850.00","4,850.00",0.00,0.00,"4,839.86",500.00,"4,855.00","2,419,932.00",23,-5.00,46.00,-0.10,0.95,0.21,"8,208.00","2,720.00"
13,BFC,42.80,438.00,447.90,433.00,438.10,438.10,0.00,0.00,439.78,"10,000.00",440.00,"4,397,818.50",97,-1.90,14.90,-0.43,3.44,-0.38,630.00,129.00
14,BNT,50.73,"15,400.00","16,116.00","14,895.10","15,580.00","15,580.00",0.00,0.00,"15,512.81","1,050.00","15,199.00","16,288,446.00",44,381.00,"1,220.90",2.51,8.20,0.43,"16,116.00","8,328.00"
15,BOKL,47.25,265.00,269.80,261.10,269.00,269.00,0.00,0.00,267.51,"21,592.00",265.00,"5,776,094.80",154,4.00,8.70,1.51,3.33,0.55,433.20,240.20
16,BPCL,43.73,415.00,416.00,410.00,415.00,415.00,0.00,0.00,413.03,"10,830.00",415.00,"4,473,113.30",111,0.00,6.00,0.00,1.46,0.47,703.00,380.00
